출발지,목적지,경로ID,계단,엘리베이터,경사,추천대상,안내문,장애물,편의시설,내부안내,데이터출처,마지막확인일,검증여부
백주년기념관,눈꽃광장,AO,없음,없음,1,"목발, 휠체어",백주년 기념관에서 나와 왼쪽 골목으로 꺾으면 눈꼴광장이 나옴,,,,,2026. 5. 22,TRUE
다목적관,정문,AP,없음,없음,1,"목발, 휠체어",다목적관 뒷문으로 나와 자동문을 지나 신호등을 건너서 정문으로 이동,,,,,2026. 5. 22,TRUE
다목적관,프라임관,AQ,없음,없음,1,"목발, 휠체어",다목적관 뒷문으로 나와 자동문을 지나 신호등을 건너면 프라임관이 나옴,,,,,2026. 5. 21,TRUE
다목적관,과학관,AR,없음,없음,1,"목발, 휠체어",다목적관 뒷문으로 나와 골목을 통해 들어가면 과학관이 나옴,,,,,2026. 5. 22,TRUE
다목적관,중앙도서관,AS,없음,없음,1,"목발, 휠체어",다목적관 뒷문으로 나와 골목을 통해 들어가면 도서관이 나옴,,,,,,TRUE
과학관,정문,AT,없음,없음,1,"목발, 휠체어",과학관에서 나와 골목을 지나서 자동문을 통과한 뒤 신호등을 건너서 정문으로 이동,,,,,,TRUE
과학관,프라임관,AU,없음,없음,1,"목발, 휠체어",과학관에서 나와 골목을 지나서 자동문을 통과한 뒤 신호등을 건너서 프라임관으로 이동,,,,,,TRUE
과학관,다목적관,AV,없음,없음,1,"목발, 휠체어",과학관에서 나와 골목을 지나서 다목적관 뒷문으로 들어갈 수 있음,,,,,,TRUE
과학관,중앙도서관,AW,없음,없음,1,"목발, 휠체어",과학관에서 나와 바로 앞 도서관으로 이동,,,,,,TRUE
중앙도서관,정문,AX,없음,없음,1,"목발, 휠체어",도서관에서 나와 과학관 앞을 지나 골목을 지나서 자동문을 통과한 뒤 신호등을 건너서 정문으로 이동,,,,,,TRUE
중앙도서관,프라임관,AY,없음,없음,1,"목발, 휠체어",도서관에서 나와 과학관 앞을 지나 골목을 지나서 자동문을 통과한 뒤 신호등을 건너서 프라임관으로 이동,,,,,,TRUE
중앙도서관,다목적관,AZ,없음,없음,1,"목발, 휠체어",도서관에서 나와 과학관 앞을 지나 골목을 지나서 다목적관 뒷문으로 들어갈 수 있음,,,,,,TRUE
중앙도서관,과학관,BA,없음,없음,1,"목발, 휠체어",중앙도서관에서 나와 바로 앞의 과학관으로 이동,,,,,,TRUE
